task,method,run,seed,final_fitness,convergence_gen,pattern1_score,pattern2_score,patterns_inherited
L+T,Baldwin,1,42,0.3666666666666667,150,0.4,0.3333333333333333,
L+T,Baldwin,2,84,0.2833333333333333,150,0.4,0.16666666666666666,
L+T,Baldwin,3,126,0.0,150,0.0,0.0,
L+T,Baldwin,4,168,0.35,150,0.2,0.5,
L+T,Baldwin,5,210,0.2833333333333333,150,0.4,0.16666666666666666,
L+T,Baldwin,6,252,0.0,150,0.0,0.0,
L+T,Baldwin,7,294,0.5666666666666667,150,0.8,0.3333333333333333,
L+T,Baldwin,8,336,0.4,150,0.8,0.0,
L+T,Baldwin,9,378,0.2833333333333333,150,0.4,0.16666666666666666,
L+T,Baldwin,10,420,0.5666666666666667,150,0.8,0.3333333333333333,
L+T,Baldwin,11,462,0.3,150,0.6,0.0,
L+T,Baldwin,12,504,0.3,150,0.6,0.0,
L+T,Baldwin,13,546,0.16666666666666666,150,0.0,0.3333333333333333,
L+T,Baldwin,14,588,0.65,150,0.8,0.5,
L+T,Baldwin,15,630,0.3,150,0.6,0.0,
L+T,Baldwin,16,672,0.08333333333333333,150,0.0,0.16666666666666666,
L+T,Baldwin,17,714,0.4,150,0.8,0.0,
L+T,Baldwin,18,756,0.3,150,0.6,0.0,
L+T,Baldwin,19,798,0.7333333333333334,150,0.8,0.6666666666666666,
L+T,Baldwin,20,840,0.0,150,0.0,0.0,
L+T,Baldwin,21,882,0.08333333333333333,150,0.0,0.16666666666666666,
L+T,Baldwin,22,924,0.18333333333333335,150,0.2,0.16666666666666666,
L+T,Baldwin,23,966,0.25,150,0.0,0.5,
L+T,Baldwin,24,1008,0.08333333333333333,150,0.0,0.16666666666666666,
L+T,Baldwin,25,1050,0.0,150,0.0,0.0,
L+T,Baldwin,26,1092,0.2,150,0.4,0.0,
L+T,Baldwin,27,1134,0.0,150,0.0,0.0,
L+T,Baldwin,28,1176,0.2,150,0.4,0.0,
L+T,Baldwin,29,1218,0.0,150,0.0,0.0,
L+T,Baldwin,30,1260,0.2833333333333333,150,0.4,0.16666666666666666,
L+T,Phenotype-First,1,42,0.8166666666666667,150,0.8,0.8333333333333334,2
L+T,Phenotype-First,2,84,0.8166666666666667,150,0.8,0.8333333333333334,3
L+T,Phenotype-First,3,126,0.7333333333333334,150,0.8,0.6666666666666666,1
L+T,Phenotype-First,4,168,0.8166666666666667,150,0.8,0.8333333333333334,2
L+T,Phenotype-First,5,210,0.7333333333333334,150,0.8,0.6666666666666666,1
L+T,Phenotype-First,6,252,0.8166666666666667,150,0.8,0.8333333333333334,2
L+T,Phenotype-First,7,294,0.8166666666666667,150,0.8,0.8333333333333334,2
L+T,Phenotype-First,8,336,0.8166666666666667,150,0.8,0.8333333333333334,1
L+T,Phenotype-First,9,378,0.8166666666666667,150,0.8,0.8333333333333334,1
L+T,Phenotype-First,10,420,0.8166666666666667,150,0.8,0.8333333333333334,1
L+T,Phenotype-First,11,462,0.8166666666666667,150,0.8,0.8333333333333334,2
L+T,Phenotype-First,12,504,0.8166666666666667,150,0.8,0.8333333333333334,2
L+T,Phenotype-First,13,546,0.6166666666666667,150,0.4,0.8333333333333334,1
L+T,Phenotype-First,14,588,0.8166666666666667,150,0.8,0.8333333333333334,2
